			tree	tree	kappa	kappa	p	p	q	q	p_k1	p_k1	p_k2	p_k2	p_k3	p_k3	p_k4	p_k4	p_k5	p_k5	p_k6	p_k6	p_k7	p_k7	p_k8	p_k8	p_k9	p_k9	p_k10	p_k10	w_k1	w_k1	w_k2	w_k2	w_k3	w_k3	w_k4	w_k4	w_k5	w_k5	w_k6	w_k6	w_k7	w_k7	w_k8	w_k8	w_k9	w_k9	w_k10	w_k10
STRIP1	1.0	mix_4	9.886	(9.366, 10.48)	3.354	(3.045, 3.663)	2.078	(1.764, 2.463)	2.37	(1.962, 2.919)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.127	(0.107, 0.15)	0.226	(0.204, 0.253)	0.301	(0.275, 0.329)	0.368	(0.339, 0.393)	0.431	(0.402, 0.459)	0.494	(0.46, 0.525)	0.559	(0.522, 0.594)	0.63	(0.591, 0.667)	0.712	(0.673, 0.748)	0.827	(0.788, 0.859)
STRIP1	1.0	mix_5	12.522	(11.841, 13.174)	3.423	(3.031, 3.724)	4.867	(3.605, 7.151)	2.105	(1.471, 3.137)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.399	(0.357, 0.447)	0.524	(0.488, 0.559)	0.596	(0.563, 0.627)	0.652	(0.618, 0.687)	0.7	(0.661, 0.735)	0.744	(0.703, 0.78)	0.786	(0.745, 0.822)	0.828	(0.786, 0.864)	0.873	(0.832, 0.907)	0.93	(0.894, 0.959)
STRIP1	2.0	mix_1	7.598	(7.262, 7.93)	3.692	(3.241, 4.111)	3.671	(2.804, 4.734)	14.36	(10.791, 19.007)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.072	(0.058, 0.085)	0.108	(0.095, 0.122)	0.134	(0.121, 0.148)	0.158	(0.145, 0.171)	0.181	(0.168, 0.194)	0.205	(0.192, 0.216)	0.231	(0.214, 0.243)	0.261	(0.242, 0.277)	0.302	(0.28, 0.322)	0.374	(0.342, 0.404)
STRIP1	2.0	mix_2	11.145	(10.726, 11.651)	3.722	(3.409, 4.21)	14.028	(7.261, 33.596)	13.785	(7.173, 33.665)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.342	(0.293, 0.403)	0.401	(0.365, 0.444)	0.437	(0.409, 0.471)	0.466	(0.444, 0.493)	0.492	(0.47, 0.52)	0.518	(0.495, 0.548)	0.544	(0.517, 0.576)	0.573	(0.539, 0.608)	0.609	(0.565, 0.653)	0.667	(0.606, 0.724)
STRIP1	2.0	mix_3	14.569	(12.397, 15.229)	3.678	(3.408, 4.033)	12.747	(0.05, 57.01)	3.134	(0.006, 13.845)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.578	(0.245, 0.723)	0.674	(0.305, 0.779)	0.722	(0.329, 0.793)	0.757	(0.348, 0.818)	0.799	(0.681, 0.858)	0.839	(0.794, 1.0)	0.868	(0.82, 1.0)	0.892	(0.836, 1.0)	0.917	(0.854, 1.0)	0.949	(0.876, 1.0)
STRIP1	2.0	mix_4	10.749	(10.226, 11.273)	3.707	(3.338, 4.05)	1.951	(1.695, 2.328)	2.168	(1.781, 2.585)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.121	(0.101, 0.149)	0.223	(0.199, 0.251)	0.301	(0.273, 0.327)	0.371	(0.342, 0.397)	0.437	(0.407, 0.467)	0.503	(0.47, 0.538)	0.57	(0.536, 0.608)	0.643	(0.606, 0.682)	0.727	(0.69, 0.768)	0.842	(0.807, 0.878)
STRIP1	2.0	mix_5	13.569	(12.846, 14.26)	3.685	(3.297, 4.097)	4.407	(3.257, 5.948)	1.882	(1.167, 2.805)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.387	(0.338, 0.436)	0.518	(0.477, 0.562)	0.594	(0.559, 0.631)	0.654	(0.619, 0.688)	0.704	(0.668, 0.747)	0.75	(0.71, 0.799)	0.794	(0.752, 0.846)	0.837	(0.794, 0.89)	0.883	(0.84, 0.932)	0.939	(0.901, 0.975)
STRIP1	4.0	mix_1	7.968	(7.556, 8.372)	3.884	(3.491, 4.298)	3.116	(2.326, 4.137)	11.779	(8.75, 16.081)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.066	(0.052, 0.08)	0.104	(0.091, 0.117)	0.132	(0.122, 0.144)	0.158	(0.147, 0.168)	0.183	(0.172, 0.194)	0.21	(0.198, 0.221)	0.239	(0.225, 0.254)	0.273	(0.254, 0.293)	0.319	(0.294, 0.345)	0.4	(0.362, 0.437)
STRIP1	4.0	mix_2	11.729	(11.271, 12.219)	3.951	(3.598, 4.415)	7.57	(4.753, 11.181)	7.189	(4.655, 10.985)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.302	(0.251, 0.339)	0.377	(0.34, 0.408)	0.424	(0.398, 0.45)	0.462	(0.442, 0.485)	0.497	(0.475, 0.519)	0.531	(0.507, 0.554)	0.566	(0.537, 0.593)	0.604	(0.57, 0.637)	0.65	(0.61, 0.687)	0.723	(0.674, 0.769)
STRIP1	4.0	mix_3	15.468	(14.696, 16.306)	3.892	(3.529, 4.306)	4.98	(0.112, 7.723)	1.174	(0.007, 1.95)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.517	(0.463, 0.586)	0.668	(0.603, 1.0)	0.742	(0.687, 1.0)	0.793	(0.743, 1.0)	0.834	(0.781, 1.0)	0.869	(0.819, 1.0)	0.9	(0.853, 1.0)	0.928	(0.882, 1.0)	0.955	(0.915, 1.0)	0.982	(0.956, 1.0)
STRIP1	4.0	mix_4	11.336	(10.83, 11.903)	3.857	(3.493, 4.202)	1.803	(1.533, 2.075)	1.935	(1.512, 2.349)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.115	(0.096, 0.132)	0.22	(0.202, 0.24)	0.302	(0.281, 0.325)	0.375	(0.349, 0.403)	0.446	(0.416, 0.477)	0.515	(0.482, 0.55)	0.586	(0.548, 0.625)	0.662	(0.623, 0.705)	0.749	(0.709, 0.792)	0.863	(0.826, 0.902)
STRIP1	4.0	mix_5	14.272	(13.636, 14.862)	3.912	(3.518, 4.254)	3.29	(1.307, 4.177)	1.348	(0.47, 1.783)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.354	(0.317, 0.41)	0.512	(0.465, 0.784)	0.598	(0.553, 0.827)	0.666	(0.622, 0.862)	0.723	(0.681, 0.89)	0.774	(0.734, 0.915)	0.821	(0.783, 0.937)	0.867	(0.832, 0.956)	0.912	(0.881, 0.974)	0.962	(0.94, 0.992)
STRIP1	8.0	mix_1	7.961	(7.481, 8.378)	3.936	(3.581, 4.323)	2.557	(1.911, 3.479)	8.724	(6.037, 12.525)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.061	(0.047, 0.078)	0.103	(0.09, 0.119)	0.135	(0.123, 0.15)	0.165	(0.153, 0.179)	0.195	(0.182, 0.209)	0.226	(0.213, 0.246)	0.261	(0.244, 0.287)	0.302	(0.277, 0.333)	0.357	(0.322, 0.393)	0.452	(0.399, 0.507)
STRIP1	8.0	mix_2	11.875	(11.352, 12.532)	3.99	(3.656, 4.501)	5.332	(3.934, 7.214)	4.621	(3.334, 6.448)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.281	(0.245, 0.322)	0.371	(0.342, 0.402)	0.429	(0.405, 0.461)	0.476	(0.45, 0.506)	0.519	(0.493, 0.545)	0.56	(0.529, 0.588)	0.602	(0.565, 0.633)	0.647	(0.606, 0.683)	0.701	(0.656, 0.743)	0.783	(0.732, 0.828)
STRIP1	8.0	mix_3	15.62	(14.662, 16.231)	3.916	(3.612, 4.346)	3.838	(0.109, 6.046)	0.87	(0.006, 1.567)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.487	(0.439, 0.555)	0.655	(0.598, 1.0)	0.738	(0.688, 1.0)	0.804	(0.747, 1.0)	0.852	(0.797, 1.0)	0.889	(0.834, 1.0)	0.92	(0.865, 1.0)	0.946	(0.898, 1.0)	0.97	(0.932, 1.0)	0.99	(0.967, 1.0)
STRIP1	8.0	mix_4	11.434	(10.831, 12.061)	3.973	(3.531, 4.329)	1.661	(1.45, 1.903)	1.667	(1.326, 2.022)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.11	(0.092, 0.133)	0.22	(0.195, 0.252)	0.308	(0.281, 0.338)	0.387	(0.357, 0.42)	0.463	(0.427, 0.496)	0.537	(0.499, 0.572)	0.612	(0.572, 0.651)	0.692	(0.651, 0.734)	0.779	(0.739, 0.82)	0.889	(0.854, 0.921)
STRIP1	8.0	mix_5	14.492	(13.842, 15.325)	3.945	(3.525, 4.352)	3.081	(2.483, 3.996)	1.203	(0.889, 1.746)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.344	(0.302, 0.379)	0.499	(0.462, 0.541)	0.594	(0.55, 0.64)	0.668	(0.621, 0.718)	0.73	(0.686, 0.782)	0.785	(0.74, 0.834)	0.834	(0.789, 0.88)	0.88	(0.837, 0.921)	0.925	(0.885, 0.956)	0.971	(0.942, 0.988)
TNFAIP3	1.0	mix_1	9.495	(9.102, 9.855)	2.99	(2.779, 3.228)	4.07	(3.045, 5.49)	16.162	(11.697, 21.918)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.076	(0.061, 0.092)	0.111	(0.096, 0.127)	0.136	(0.121, 0.151)	0.158	(0.145, 0.172)	0.18	(0.167, 0.192)	0.202	(0.189, 0.215)	0.227	(0.213, 0.239)	0.256	(0.24, 0.273)	0.294	(0.273, 0.317)	0.362	(0.332, 0.397)
TNFAIP3	1.0	mix_2	14.046	(13.449, 14.582)	3.009	(2.8, 3.273)	19.543	(8.842, 71.004)	19.631	(8.631, 70.273)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.357	(0.306, 0.429)	0.409	(0.373, 0.456)	0.44	(0.412, 0.47)	0.465	(0.443, 0.49)	0.488	(0.469, 0.511)	0.511	(0.491, 0.535)	0.534	(0.507, 0.562)	0.559	(0.521, 0.592)	0.591	(0.542, 0.634)	0.642	(0.575, 0.698)
TNFAIP3	1.0	mix_3	18.534	(17.73, 19.231)	2.998	(2.763, 3.176)	27.081	(3.059, 99.0)	6.658	(0.668, 24.878)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.647	(0.542, 0.752)	0.716	(0.639, 0.79)	0.75	(0.704, 0.805)	0.776	(0.737, 0.82)	0.804	(0.76, 0.841)	0.828	(0.786, 0.94)	0.847	(0.802, 0.953)	0.866	(0.818, 0.965)	0.888	(0.834, 0.977)	0.919	(0.855, 0.99)
TNFAIP3	1.0	mix_4	13.465	(12.927, 14.136)	3.005	(2.807, 3.284)	2.066	(1.787, 2.398)	2.343	(1.899, 2.863)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.126	(0.109, 0.145)	0.226	(0.208, 0.246)	0.302	(0.283, 0.324)	0.369	(0.348, 0.391)	0.433	(0.408, 0.459)	0.496	(0.467, 0.524)	0.561	(0.527, 0.595)	0.632	(0.593, 0.67)	0.714	(0.671, 0.755)	0.829	(0.787, 0.868)
TNFAIP3	1.0	mix_5	17.046	(16.23, 17.767)	3.018	(2.768, 3.207)	5.021	(3.942, 6.502)	2.181	(1.543, 2.884)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.402	(0.352, 0.44)	0.52	(0.476, 0.548)	0.592	(0.552, 0.621)	0.648	(0.609, 0.682)	0.695	(0.657, 0.733)	0.739	(0.702, 0.779)	0.781	(0.744, 0.823)	0.823	(0.787, 0.866)	0.869	(0.834, 0.909)	0.927	(0.897, 0.958)
TNFAIP3	2.0	mix_1	10.135	(9.692, 10.626)	3.226	(2.905, 3.486)	3.684	(2.931, 4.986)	14.481	(11.012, 19.996)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.072	(0.06, 0.087)	0.108	(0.097, 0.122)	0.134	(0.124, 0.147)	0.157	(0.148, 0.17)	0.18	(0.17, 0.191)	0.204	(0.193, 0.216)	0.23	(0.217, 0.243)	0.26	(0.245, 0.275)	0.301	(0.28, 0.322)	0.373	(0.34, 0.406)
TNFAIP3	2.0	mix_2	15.055	(14.481, 15.831)	3.272	(3.053, 3.585)	13.136	(8.552, 23.744)	12.758	(7.822, 22.757)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.345	(0.312, 0.386)	0.404	(0.381, 0.432)	0.44	(0.42, 0.461)	0.469	(0.452, 0.488)	0.496	(0.473, 0.514)	0.521	(0.496, 0.541)	0.547	(0.521, 0.572)	0.576	(0.545, 0.604)	0.612	(0.575, 0.644)	0.67	(0.621, 0.711)
TNFAIP3	2.0	mix_3	19.764	(19.028, 20.574)	3.291	(3.054, 3.509)	11.352	(0.167, 23.747)	2.748	(0.01, 5.883)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.598	(0.534, 0.686)	0.697	(0.643, 0.898)	0.752	(0.702, 1.0)	0.79	(0.743, 1.0)	0.818	(0.775, 1.0)	0.843	(0.804, 1.0)	0.867	(0.827, 1.0)	0.891	(0.848, 1.0)	0.916	(0.872, 1.0)	0.948	(0.906, 1.0)
TNFAIP3	2.0	mix_4	14.442	(13.837, 15.12)	3.283	(3.07, 3.534)	2.021	(1.739, 2.309)	2.244	(1.762, 2.702)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.126	(0.11, 0.144)	0.227	(0.21, 0.247)	0.304	(0.285, 0.324)	0.373	(0.35, 0.394)	0.438	(0.412, 0.462)	0.503	(0.475, 0.532)	0.569	(0.539, 0.605)	0.641	(0.605, 0.681)	0.723	(0.684, 0.767)	0.838	(0.801, 0.879)
TNFAIP3	2.0	mix_5	18.251	(17.583, 19.066)	3.286	(3.063, 3.537)	4.605	(3.519, 5.9)	1.962	(1.43, 2.642)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.393	(0.352, 0.436)	0.517	(0.478, 0.558)	0.593	(0.56, 0.631)	0.651	(0.617, 0.69)	0.701	(0.665, 0.741)	0.747	(0.711, 0.787)	0.79	(0.753, 0.83)	0.833	(0.794, 0.873)	0.879	(0.843, 0.915)	0.935	(0.906, 0.963)
TNFAIP3	4.0	mix_1	10.472	(9.977, 11.045)	3.411	(3.079, 3.666)	3.288	(2.513, 4.313)	12.244	(9.169, 16.344)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.07	(0.057, 0.084)	0.108	(0.095, 0.123)	0.136	(0.124, 0.151)	0.161	(0.15, 0.176)	0.186	(0.174, 0.199)	0.212	(0.198, 0.226)	0.241	(0.225, 0.258)	0.275	(0.254, 0.293)	0.319	(0.295, 0.342)	0.398	(0.363, 0.433)
TNFAIP3	4.0	mix_2	15.636	(15.015, 16.253)	3.438	(3.208, 3.743)	8.352	(5.728, 12.93)	7.666	(4.941, 11.911)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.318	(0.285, 0.358)	0.391	(0.366, 0.419)	0.437	(0.411, 0.46)	0.474	(0.45, 0.497)	0.508	(0.486, 0.533)	0.54	(0.518, 0.57)	0.573	(0.549, 0.609)	0.61	(0.582, 0.652)	0.654	(0.619, 0.703)	0.723	(0.677, 0.778)
TNFAIP3	4.0	mix_3	20.576	(19.645, 21.355)	3.419	(3.131, 3.684)	6.822	(4.45, 11.831)	1.549	(0.896, 2.814)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.561	(0.498, 0.626)	0.679	(0.628, 0.719)	0.744	(0.704, 0.785)	0.791	(0.757, 0.83)	0.828	(0.794, 0.868)	0.86	(0.823, 0.898)	0.889	(0.85, 0.928)	0.917	(0.877, 0.953)	0.944	(0.905, 0.974)	0.974	(0.942, 0.993)
TNFAIP3	4.0	mix_4	14.986	(14.36, 15.578)	3.441	(3.173, 3.685)	1.889	(1.655, 2.214)	1.991	(1.67, 2.414)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.122	(0.108, 0.141)	0.228	(0.211, 0.247)	0.31	(0.292, 0.332)	0.382	(0.364, 0.407)	0.451	(0.431, 0.479)	0.519	(0.493, 0.551)	0.589	(0.559, 0.624)	0.663	(0.629, 0.699)	0.748	(0.71, 0.784)	0.86	(0.826, 0.891)
TNFAIP3	4.0	mix_5	18.809	(18.076, 19.832)	3.438	(3.207, 3.662)	3.71	(2.919, 4.594)	1.5	(1.097, 1.938)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.365	(0.328, 0.411)	0.505	(0.472, 0.546)	0.593	(0.558, 0.631)	0.657	(0.622, 0.698)	0.711	(0.678, 0.754)	0.76	(0.729, 0.806)	0.806	(0.777, 0.851)	0.855	(0.821, 0.892)	0.905	(0.871, 0.936)	0.956	(0.93, 0.977)
TNFAIP3	8.0	mix_1	10.315	(9.863, 10.745)	3.365	(3.101, 3.606)	2.751	(2.269, 3.487)	9.169	(7.039, 11.754)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.067	(0.055, 0.078)	0.109	(0.097, 0.123)	0.142	(0.128, 0.154)	0.171	(0.158, 0.186)	0.201	(0.186, 0.215)	0.231	(0.216, 0.249)	0.265	(0.247, 0.286)	0.305	(0.284, 0.329)	0.357	(0.333, 0.388)	0.449	(0.414, 0.491)
TNFAIP3	8.0	mix_2	15.624	(15.024, 16.206)	3.464	(3.234, 3.808)	6.932	(5.193, 9.578)	5.86	(4.383, 8.038)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.315	(0.283, 0.349)	0.397	(0.371, 0.423)	0.448	(0.428, 0.474)	0.489	(0.469, 0.512)	0.527	(0.505, 0.548)	0.563	(0.54, 0.584)	0.599	(0.573, 0.622)	0.639	(0.608, 0.665)	0.687	(0.651, 0.716)	0.761	(0.719, 0.794)
TNFAIP3	8.0	mix_3	20.504	(19.727, 21.493)	3.414	(3.166, 3.646)	5.816	(0.152, 10.881)	1.211	(0.019, 2.462)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.56	(0.51, 0.628)	0.692	(0.645, 0.878)	0.757	(0.715, 0.909)	0.803	(0.766, 0.934)	0.841	(0.806, 0.952)	0.873	(0.832, 0.967)	0.9	(0.857, 0.978)	0.932	(0.884, 0.987)	0.959	(0.915, 1.0)	0.983	(0.95, 1.0)
TNFAIP3	8.0	mix_4	14.939	(14.331, 15.622)	3.446	(3.236, 3.697)	1.784	(1.548, 2.059)	1.718	(1.435, 2.032)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.124	(0.105, 0.142)	0.237	(0.214, 0.257)	0.324	(0.3, 0.348)	0.402	(0.377, 0.429)	0.476	(0.446, 0.506)	0.548	(0.514, 0.58)	0.621	(0.586, 0.656)	0.697	(0.662, 0.734)	0.782	(0.748, 0.818)	0.889	(0.86, 0.917)
